Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
Road House,2024,Action Thriller ,6.2,JakeGyllenhaal DanielaMelchior ConorMcGregor ,DougLiman,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.","https://m.media-amazon.com/images/M/MV5BNTFiNTMxNTQtM2EzOS00NWNhLWFmNzctNjU5ODIzNDIzMzYzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Dune: Part Two,2024,Action Adventure Drama ,8.8,TimothéeChalamet Zendaya RebeccaFerguson ,DenisVilleneuve,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,"https://m.media-amazon.com/images/M/MV5BN2QyZGU4ZDctOWMzMy00NTc5LThlOGQtODhmNDI1NmY5YzAwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Godzilla x Kong: The New Empire,2024,Action Adventure Sci-Fi ,6.6,RebeccaHall BrianTyreeHenry DanStevens ,AdamWingard,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.","https://m.media-amazon.com/images/M/MV5BY2QwOGE2NGQtMWQwNi00M2IzLThlNWItYWMzNGQ5YWNiZDA4XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Ghostbusters: Frozen Empire,2024,Adventure Comedy Fantasy ,6.5,PaulRudd CarrieCoon FinnWolfhard ,GilKenan,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.","https://m.media-amazon.com/images/M/MV5BNGE5MWJmZWYtN2ZlMi00ZjY1LTlhYTUtMzQ2Y2IxZWQyYTA2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
Poor Things,2023,Comedy Drama Romance ,8,EmmaStone MarkRuffalo WillemDafoe ,YorgosLanthimos,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.","https://m.media-amazon.com/images/M/MV5BNGIyYWMzNjktNDE3MC00YWQyLWEyMmEtN2ZmNzZhZDk3NGJlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
Road House,1989,Action Thriller ,6.7,PatrickSwayze KellyLynch SamElliott ,RowdyHerrington,"A bouncer hired to clean up the baddest honkytonk in a Missouri town. Armed with a black belt in karate and a degree in philosophy, Patrick Swayze sets out to tame the Double Deuce for its owner.","https://m.media-amazon.com/images/M/MV5BMTU1MTE2Mjk2OF5BMl5BanBnXkFtZTcwMTUzNjYzNA@@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Beetlejuice Beetlejuice,2024,Comedy Fantasy Horror ,,,,"This is a follow-up to the comedy Beetlejuice (1988), about a ghost who's recruited to help haunt a house.","https://m.media-amazon.com/images/M/MV5BYTk2YjE4MjgtYWEzYy00NzY3LTk4MzktZTNhZjlhOTJhNDZjXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_QL75_UY107_CR7,0,72,107_.jpg"
Dune: Part One,2021,Action Adventure Drama ,8,TimothéeChalamet RebeccaFerguson Zendaya ,DenisVilleneuve,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"https://m.media-amazon.com/images/M/MV5BMDQ0NjgyN2YtNWViNS00YjA3LTkxNDktYzFkZTExZGMxZDkxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Damsel,2024,Action Adventure Fantasy ,6.1,MillieBobbyBrown RayWinstone AngelaBassett ,JuanCarlosFresnadillo,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.","https://m.media-amazon.com/images/M/MV5BODRiMTA4NGMtOTQzZC00OWFjLWFmODctMjY2ZTcwYjI5NDMyXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UY107_CR7,0,72,107_.jpg"
Oppenheimer,2023,Biography Drama History ,8.3,CillianMurphy EmilyBlunt MattDamon ,ChristopherNolan,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Late Night with the Devil,2023,Horror ,7.5,DavidDastmalchian LauraGordon IanBliss ,CameronCairnes,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.","https://m.media-amazon.com/images/M/MV5BZDkyNjE0NzMtNTgxYS00MDE4LWI0OWYtZGNmNDcxNjRhMTY3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
